6.05	12.015
8.15	10.1
10.2	8.125
12.25	6.175
14.325	5.2
16.35	4.25
18.49	3.4
20.698	2.5
22.9	2.7
18.45	3.7
16.75	4.75
14.8	5.775
12.95	6.8
10.84	7.85
8.91	8.855
15.925	10.865
14.929	12.885
13.933	14.915
12.935	16.95
11.95	18.975
10.81	20.995
8.75	22.975
6.15	19.95
5.2	18.9
4.45	17.875
7.325	15.865
8.35	13.855
9.4	11.85
10.5	9.775
12.6	7.75
14.7	5.71
16.75	3.603
18.8	2.495
19.85	4.394
17.907	6.245
15.91	8.192
13.925	10.175
11.929	12.125
9.01	14.105
7.935	12.01
5.95	10.11
5.02	8.115
4.05	6.128
5.935	4.131
6.925	2.135
