10	1	6.1
15.8	2.1	4.2
22.5	2.5	3.5
25.7	3.51	2.72
32.5	4.2	2.53
35	5.02	2.1
40.7	8.2	1.15
51.8	10.1	0.72
65	12.8	0.54
82	14.4	0.15
95.4	14.7	0.55
102.8	15.5	1.76
117	16.3	2.23
125.78	16.7	3.61
97	16.9	5.16
95.5	17.5	8.25
93.9	17.7	11.37
91.5	18.2	13.26
79.58	19.1	15.51
55.4	19.5	17.74
31.5	21	13.14
12.5	23.56	11.35
10.8	25.3	8.58
8.5	28.7	6.74
4.4	31.56	4.85
2.5	27.1	6.21
5.3	24.7	9.52
8.7	26.2	10.75
11.2	23.7	8.1
14.7	20.36	6.1
17.8	17.7	4.15
20.1	13.34	2.36
40.52	11.72	1.35
65.2	9.9	2.13
80.76	7.74	4.57
91.1	6.36	6.75
109.5	5.7	9.26
122.9	4.75	11.79
108.3	3.65	13.12
84.5	3.52	15.36
58.6	2.72	12.85
35.8	2.34	10.34
15.26	2.16	8.68
9.52	1.76	5.32
4.8	1.48	2.16
