1.05	9.015
1.15	9.109
1.192	9.125
2.25	9.175
4.325	9.198
6.35	9.251
8.411	9.495
10.505	10.498
12.61	11.598
14.695	13.699
15.75	15.748
17.804	17.775
19.85	19.798
18.05	21.85
16.91	23.855
14.925	25.865
12.011	27.875
10.933	25.899
8.935	23.951
6.95	21.975
4.95	19.015
2.108	17.975
1.251	15.95
3.204	13.915
5.248	11.875
8.325	9.865
11.351	7.855
15.408	5.85
17.495	3.775
15.607	1.75
13.697	3.697
11.75	5.605
9.798	7.495
7.85	9.415
5.913	11.255
3.91	13.205
2.925	11.175
1.929	9.125
3.933	7.091
5.935	5.985
7.95	3.115
9.995	1.115
11.95	2.12
13.935	4.13
15.925	6.135
